Q,party,shown,n,agree,disagree
1,D,N,1360,22,69
1,D,Y,1360,28,64
1,R,N,1243,33,56
1,R,Y,1243,70,23
2,D,N,2118,68,25
2,D,Y,2084,47,39
2,R,N,1861,33,61
2,R,Y,1867,39,50
3,D,N,2118,53,30
3,D,Y,2084,32,54
3,R,N,1861,33,53
3,R,Y,1867,46,39
4,D,N,2118,29,58
4,D,Y,2084,24,66
4,R,N,1861,66,24
4,R,Y,1867,75,16
5,D,N,2118,48,40
5,D,Y,2084,32,57
5,R,N,1861,73,20
5,R,Y,1867,79,14
6,D,N,2118,17,76
6,D,Y,2084,19,74
6,R,N,1861,42,51
6,R,Y,1867,46,46
7,D,N,573,91,5
7,D,Y,586,84,10
7,R,N,507,89,6
7,R,Y,524,88,8
8,D,N,573,79,13
8,D,Y,586,75,14
8,R,N,507,74,19
8,R,Y,524,82,11
9,D,N,573,23,57
9,D,Y,586,20,64
9,R,N,507,40,43
9,R,Y,524,54,33
10,D,N,573,74,16
10,D,Y,586,70,22
10,R,N,507,76,16
10,R,Y,524,85,10
11,D,N,573,41,41
11,D,Y,586,38,50
11,R,N,507,75,16
11,R,Y,524,77,15
12,D,N,573,62,26
12,D,Y,586,53,37
12,R,N,507,86,9
12,R,Y,524,84,7
